Noms et Prénoms,Parti,Circonscription,Groupe Parlementaire,Commission,Fonction
KEITA Ben Youssouf,UFDG,Liste nationale,Libéraux-démocrates,"Santé, Éducation, Affaires sociales, Jeunesse",Membre de Commission
KONATE Sékou,RPG,Député Uninominal Kankan,RPG Arc-en-ciel,"Affaires économiques, financières et du plan",Vice Président de Commission
KONATE Nantènin,RPG,Liste nationale,RPG Arc-en-ciel,Affaires étrangères et Guinéens de l’étranger,Vice Présidente de Commission
KOUROUMA Bangaly,RPG,Liste nationale,RPG Arc-en-ciel,Lois,Vice Président de Commission
KOUROUMA Lancinet Sény,RPG,Liste nationale,RPG Arc-en-ciel,Défense et sécurité,Membre de Commission
KOUROUMA Holomo koni,UGDD,Liste nationale,Non inscrit,"Affaires économiques, financières et du plan",Membre de Commission
MAGASSOUBA Nanfadima,RPG,Liste nationale,RPG Arc-en-ciel,Délégations,Membre de Commission
MANSARE Anne-Marie,RPG,Liste nationale,RPG Arc-en-ciel,Environnement et ressources naturelles,Rapporteur de Commission
MAREGA Fodé Amara,UFDG,Député Uninominal Dinguiraye,Libéraux-démocrates,Éducation,Président de Commission
NABE Aly,RPG,Liste nationale,RPG Arc-en-ciel,Aménagement du territoire et transports,Membre de Commission
OULARE Abdoul Karim,RPG,Député Uninominal Faranah,RPG Arc-en-ciel,Développement rural,Membre de Commission
SAVANE Sékou,RPG,Député Uninominal Siguiri,RPG Arc-en-ciel,Mines et industrie,Membre de Commission
SOUMAH Aissata,UFR,Députée Uninominale Boffa,Alliance Républicaine,"Santé, Éducation, Affaires sociales, Jeunesse",Membre de Commission
SOUMAH Aboubacar,UFDG,Député Uninominal Dixinn,Libéraux-démocrates,Mines et industrie,
SOW Mamadou Diouldé,UFDG,Député Uninominal Pita,Libéraux-démocrates,Affaires étrangères et Guinéens de l’étranger,Vice-Président
SYLLA Mamadou,RPG,Liste nationale,RPG Arc-en-ciel,"Commerce, Artisanat, Tourisme",
SYLLA Alpha,RPG,Liste nationale,RPG Arc-en-ciel,"Affaires économiques, financières et du plan",Membre de Commission
SYLLA Abdoulaye,RPG,Liste nationale,RPG Arc-en-ciel,"Affaires économiques, financières et du plan",Membre de Commission
SYLLA Aboubacar,UFDG,Liste nationale,Libéraux-démocrates,"Santé, Éducation, Affaires sociales, Jeunesse",Président de Commission
SYLLA Elhadj Dembo,RPG,Liste nationale,RPG Arc-en-ciel,Bureau de l’Assemblée,1er Secrétaire parlementaire
SYLLA Abdoulaye,UFR,Député uninominal Boké,Alliance Républicaine,Lois,Membre de Commission
TELLIANO Jean Marc,RDIG,Liste nationale,Alliance Républicaine,"Emploi, Fonction publique",Président de Commission
TOUPOU Pépé,RPG,Député uninominal Macenta,RPG-Arc-en-ciel,"Aménagement du territoire, Transports",Vice Président de Commission
TOURE Ibrahima Sory,UFDG,Liste nationale,Libéraux-démocrates,Environnement et Ressources naturelles,Membre de Commission
TOURE Ibrahima Deen,UFR,Député uninominal Matam,Alliance Républicaine,Groupe parlementaire,Président de Commission
TOURE Christian Sinata,UPG,Député uninominal Lola,Alliance Républicaine,Bureau Assemblée nationale,4ème Secrétaire Parlementaire
TOURE Sidya,UFR,Liste nationale,Alliance Républicaine,Non inscrit,
TOURE Fodé Mangué,RPG,Liste nationale,RPG Arc-en-ciel,"Aménagement du territoire, Transports",Membre de Commission
TRAORE Yaya,RPG,Liste nationale,RPG Arc-en-ciel,"Emploi, fonction publique",2ème vice Président
TRAORE Djessira,UFDG,Députée uninominale Mamou,Libéraux-démocrates,Défense et Sécurité,Membre de Commission
TRAORE Djantou,RPG,Liste nationale,RPG Arc-en-ciel,"Santé, Éducation, Affaires sociales, Jeunesse",2ème vice Président
TOURE Ibrahima Sory,RPG,Liste nationale,RPG Arc-en-ciel,Comptabilité et contrôle,Président de Commission
YANSANE Kalemodou,UFDG,Liste nationale,Libéraux-démocrates,Mines et Industrie,2ème vice Président
YARADOUNO N’faly,RPG,Député uninominal Guéckédou,RPG Arc-en-ciel,Mines et industrie,Membre de Commission
ZOUMANIGUI Bakary Goyo,UFR,Liste nationale,Alliance républicaine,"Aménagement du territoire,Transports",2ème vice Président
KOUYATE Lansana,,,,N’a pas siégé,N’a pas siégé
