nom,sexe,date_de_naissance,region,ethnie,langue,religion,parti_politique
Nicholas  Amankwah,N/A,"Sunday, 20th May, 1984",Wasa Akropong,N/A,N/A,Chrétien,National Democratic Congress (NDC)
Nikyema Billa Alamzy,N/A,"Monday, 23rd September, 1985",Paga,N/A,N/A,Moslem,National Democratic Congress (NDC)
Ntebe Ayo William,N/A,"Tuesday, 24th December, 1963",Tatale,N/A,N/A,Northern,National Democratic Congress (NDC)
Nurein Shaibu Migyimah,N/A,"Saturday, 27th February, 1988",Assin Foso,N/A,N/A,Musulman,National Democratic Congress (NDC)
Nurideen Muhammed Mumuni,N/A,"Thursday, 16th July, 1987",Gambaga,N/A,N/A,Musulman,New Patriotic Party (NPP)
Ohene Kwame Frimpong,N/A,"Tuesday, 23rd September, 1986",agogo,N/A,N/A,,Independent (INDEPEN)
Oscar Ofori Larbi,N/A,"Wednesday, 14th September, 1966",Adukrom- Akwapim,N/A,N/A,Chrétien,National Democratic Congress (NDC)
Othniel Ekow Kwainoe,N/A,"Thursday, 7th August, 1980",Ekumfi Essakyir,N/A,N/A,Chrétien,National Democratic Congress (NDC)
Owen Kwame Frimpong,N/A,"Wednesday, 12th March, 1975",Asamankese,N/A,N/A,Chrétien,National Democratic Congress (NDC)
Patricia  Appiagyei,N/A,"Wednesday, 28th November, 1956",Konongo/Asawase,N/A,N/A,Catholic,New Patriotic Party (NPP)
Patrick  Boakye-Yiadom,N/A,"Tuesday, 2nd November, 1976",Obuasi,N/A,N/A,Chrétien,New Patriotic Party (NPP)
Patrick Yaw Boamah,N/A,"Thursday, 19th September, 1974",Muoso/Effiduasi/Adasawase,N/A,N/A,Chrétien(Methodist),New Patriotic Party (NPP)
Peter Kwasi Nortsu-Kotoe,N/A,"Sunday, 6th May, 1956",Ave Kpeduhoe,N/A,N/A,Chrétien,National Democratic Congress (NDC)
Peter Lanchene Toobu,N/A,"Saturday, 8th June, 1968",Jirapa,N/A,N/A,Chrétien,National Democratic Congress (NDC)
Philip Fiifi Buckman,N/A,"Wednesday, 28th February, 1973",Gomoa Buduatta,N/A,N/A,Chrétien,National Democratic Congress (NDC)
Phillis Naa Koryoo Okunor,N/A,"Friday, 26th December, 1986",Kpong bawleshie,N/A,N/A,Chrétien,National Democratic Congress (NDC)
Pious Kwame Nkuah,N/A,"Sunday, 21st November, 1976",SEFWI AKONTOMBRA,N/A,N/A,Chrétien,National Democratic Congress (NDC)
Queenstar Maame Pokuah Sawyerr,N/A,"Wednesday, 1st July, 1964",Agona Kwanyarko,N/A,N/A,Chrétien-Anglican,National Democratic Congress (NDC)
Rachel Amma Owusuah,N/A,"Saturday, 4th February, 1956",Seikwa,N/A,N/A,Chrétien,National Democratic Congress (NDC)
Ralph  Poku-Adusei,N/A,"Tuesday, 6th April, 1982",Kokofu,N/A,N/A,Chrétien,New Patriotic Party (NPP)
Richard  Gyan-Mensah,N/A,"Sunday, 20th June, 1982",Gomoa Assin Brofoyedur,N/A,N/A,Chrétien,National Democratic Congress (NDC)
Richard Kwami Sefe,N/A,"Wednesday, 11th October, 1972",Anloga,N/A,N/A,Chrétien,National Democratic Congress (NDC)
Richard  Acheampong,N/A,"Monday, 18th May, 1970",Adabokrom,N/A,N/A,Chrétien,National Democratic Congress (NDC)
Richard  Kuuire,N/A,"Friday, 17th September, 1954",Nandom,N/A,N/A,Catholic,National Democratic Congress (NDC)
Richmond Edem Kofi Kpotosu,N/A,"Friday, 19th March, 1976",TAVIEFE,N/A,N/A,Chrétien,National Democratic Congress (NDC)
Rita Naa Odoley Sowah,N/A,"Tuesday, 2nd July, 1968",La,N/A,N/A,Chrétien,National Democratic Congress (NDC)
Robert Wisdom Cudjoe,N/A,"Sunday, 6th June, 1965",Aboso Nsuaem,N/A,N/A,Chrétien,National Democratic Congress (NDC)
Rockson-Nelson Etse Kwami Dafeamekpor,N/A,"Thursday, 9th December, 1976",Woe,N/A,N/A,Chrétien,National Democratic Congress (NDC)
Rudolf  Amoako-Gyampah,N/A,"Sunday, 8th May, 1983",Denkyira Brofoyedur,N/A,N/A,Chrétien,New Patriotic Party (NPP)
Sampson  Ahi,N/A,"Tuesday, 14th September, 1976",Sefwi Bodi,N/A,N/A,Chrétien,National Democratic Congress (NDC)
Samuel  Atta-Mills,N/A,"Thursday, 26th April, 1956",Cape Coast,N/A,N/A,Methodist,National Democratic Congress (NDC)
Samuel Nartey George,N/A,"Tuesday, 22nd January, 1985","Ahwiam, Old Ningo",N/A,N/A,Chrétien,National Democratic Congress (NDC)
Samuel Okudzeto Ablakwa,N/A,"Monday, 11th August, 1980",Aveyime,N/A,N/A,Chrétien,National Democratic Congress (NDC)
Samuel  Awuku,N/A,"Tuesday, 10th April, 1984",Mampong Akuapem,N/A,N/A,Chrétien,New Patriotic Party (NPP)
Sanja  Nanja,N/A,"Saturday, 3rd February, 1968",Saboba,N/A,N/A,Chrétien,National Democratic Congress (NDC)
Sebastian Ngmenenso Sandaare,N/A,"Tuesday, 1st January, 1974",Daffiama,N/A,N/A,Chrétien,National Democratic Congress (NDC)
Sebastian Fred Deh,N/A,"Thursday, 27th April, 1967",KPANDO DZOANTI,N/A,N/A,Chrétien,National Democratic Congress (NDC)
Sedem Kweku Afenyo,N/A,"Wednesday, 27th February, 1980",Kpando - Fesi,N/A,N/A,Chrétien,National Democratic Congress (NDC)
Seid  Mubarak,N/A,"Sunday, 6th March, 1983",Sunyani,N/A,N/A,Musulman,National Democratic Congress (NDC)
Seidu  Haruna,N/A,"Monday, 4th February, 1974",Wenchi,N/A,N/A,Musulman,National Democratic Congress (NDC)
Seidu Alhassan Alajor,N/A,"Tuesday, 15th May, 1979",Kornu-Nansoni,N/A,N/A,Musulman,National Democratic Congress (NDC)
Seth  Osei-Akoto,N/A,"Tuesday, 14th August, 1962",Bontomuruso- Ashanti,N/A,N/A,Catholic,New Patriotic Party (NPP)
Shaibu  Mahama,N/A,"Thursday, 15th October, 1970",Daboya,N/A,N/A,Musulman,National Democratic Congress (NDC)
Shirley  Kyei,N/A,"Wednesday, 2nd February, 1983",Nkawie,N/A,N/A,christian,New Patriotic Party (NPP)
Simon Akibange Aworigo,N/A,"Saturday, 19th October, 1974",Navrongo,N/A,N/A,Chrétien,National Democratic Congress (NDC)
Solomon  Kuyon,N/A,"Thursday, 28th August, 1975",Chinderi,N/A,N/A,Chrétien,National Democratic Congress (NDC)
Stanley Yaw Nandaya,N/A,"Monday, 10th October, 1977",Lungni,N/A,N/A,Chrétien,Independent (INDEPEN)
Stephen  Amoah,N/A,"Friday, 27th March, 1970",Kronom Afrancho,N/A,N/A,Chrétien,New Patriotic Party (NPP)
Suhuyini Sayibu Alhassan,N/A,"Wednesday, 12th September, 1979",Tamale,N/A,N/A,Musulman,National Democratic Congress (NDC)
Sulemana  Alhassan,N/A,"Wednesday, 6th May, 1992",Gbankurugu,N/A,N/A,Chrétien,National Democratic Congress (NDC)
Tanko Mustapha Amadu,N/A,"Sunday, 15th January, 1984",Akomadan,N/A,N/A,Musulman,National Democratic Congress (NDC)
Theresa Lardi Awuni,N/A,"Tuesday, 2nd January, 1979",Zobisi,N/A,N/A,Chrétien,National Democratic Congress (NDC)
Thomas Nyarko Ampem,N/A,"Tuesday, 14th February, 1978",Anum,N/A,N/A,Chrétien,National Democratic Congress (NDC)
Thomas Winsum Anabah,N/A,"Friday, 7th March, 1975",Garu,N/A,N/A,Chrétien,National Democratic Congress (NDC)
Thomas Worlanyo Tsekpo,N/A,"Saturday, 30th June, 1984",Alavanyo-Kpeme,N/A,N/A,Chrétien,National Democratic Congress (NDC)
Titus Kofi Beyuo,N/A,"Monday, 14th September, 1981",Kucha,N/A,N/A,Chrétien,National Democratic Congress (NDC)
Tweneboa Kodua Fokuo,N/A,"Wednesday, 28th July, 1976",Pakyi no1,N/A,N/A,Chrétien,New Patriotic Party (NPP)
Vincent Ekow Assafuah,N/A,"Thursday, 27th September, 1990",Anomabo Anomansa,N/A,N/A,Chrétien,New Patriotic Party (NPP)
Vincent Oppong Asamoah,N/A,"Thursday, 13th January, 1966",Nsuatre,N/A,N/A,Chrétien,National Democratic Congress (NDC)
Worlase  Kpeli,N/A,"Tuesday, 26th August, 1980",Battor,N/A,N/A,Chrétien,Independent (INDEPEN)
Yakubu  Mohammed,N/A,"Tuesday, 7th November, 1989",Abesewa,N/A,N/A,Musulman,National Democratic Congress (NDC)
Yao  Gomado,N/A,"Thursday, 20th October, 1966",Dodo-Dompa,N/A,N/A,Chrétien,National Democratic Congress (NDC)
Yaw Frimpong Addo,N/A,"Sunday, 2nd September, 1962",Manso Akwasiso,N/A,N/A,Christain,New Patriotic Party (NPP)
Yaw Osei Adutwum,N/A,"Thursday, 9th April, 1964",Jachie,N/A,N/A,Chrétien,New Patriotic Party (NPP)
Yusif  Sulemana,N/A,"Saturday, 29th July, 1972",Bole,N/A,N/A,Musulman,National Democratic Congress (NDC)
Yussif  Jajah Issaka,N/A,"Sunday, 21st October, 1979",Bole,N/A,N/A,Musulman,National Democratic Congress (NDC)
Zanetor  Agyeman-Rawlings,N/A,"Thursday, 1st June, 1978",Dzelukope,N/A,N/A,Chrétien,National Democratic Congress (NDC)
Zuwera Mohammed Ibrahimah,N/A,"Monday, 27th July, 1970",Kpembe,N/A,N/A,Musulman,National Democratic Congress (NDC)
