nom,sexe,date_de_naissance,region,ethnie,langue,religion,parti_politique
Charles  Asiedu,N/A,"Tuesday, 23rd June, 1987",Dwomo,N/A,N/A,Chrétien,National Democratic Congress (NDC)
Charles  Forson,N/A,"Friday, 12th April, 1974",Taido,N/A,N/A,Chrétien,New Patriotic Party (NPP)
Clement Abas Apaak,N/A,"Thursday, 11th June, 1970",Doninga,N/A,N/A,Chrétien,National Democratic Congress (NDC)
Cletus Seidu Dapilah,N/A,"Wednesday, 2nd April, 1980",Tizza-Nimbare,N/A,N/A,Musulman,National Democratic Congress (NDC)
Collins  Dauda,N/A,"Wednesday, 13th February, 1957",Mehame,N/A,N/A,Musulman,National Democratic Congress (NDC)
Collins  Adomako-Mensah,N/A,"Wednesday, 2nd November, 1983",Boaman-Maase,N/A,N/A,Chrétien,New Patriotic Party (NPP)
Comfort Doyoe Cudjoe,N/A,"Friday, 3rd November, 1967",Ada,N/A,N/A,Chrétien,National Democratic Congress (NDC)
Damata Ama Appianimaa Salam,N/A,"Saturday, 26th March, 1977",Kenyasi-Brofoyedru,N/A,N/A,Musulman,New Patriotic Party (NPP)
Dan  Abdul-Latif,N/A,"Sunday, 25th January, 1970",Tamale,N/A,N/A,Musulman,National Democratic Congress (NDC)
Daniel Nana Addo-Kenneth,N/A,"Saturday, 11th May, 1985",Awukugua,N/A,N/A,Chrétien,New Patriotic Party (NPP)
Daniel Dung Mahama,N/A,"Saturday, 23rd June, 1979",Tongo,N/A,N/A,Chrétien,National Democratic Congress (NDC)
Daniel Keshi Bessey,N/A,"Monday, 31st October, 1977",Anyamam-Ada,N/A,N/A,Chrétien,National Democratic Congress (NDC)
David Theophilus Dominic Vondee,N/A,"Wednesday, 2nd August, 1978",Mafi Adedome,N/A,N/A,Chrétien,National Democratic Congress (NDC)
Davis Ansah Opoku,N/A,"Thursday, 13th September, 1984",Obomeng Kwahu,N/A,N/A,Chrétien,New Patriotic Party (NPP)
Desmond De-Graft Paitoo,N/A,"Thursday, 21st August, 1969",Gomoa Dasum,N/A,N/A,Chrétien,National Democratic Congress (NDC)
Dickson  Kyere-Duah,N/A,"Tuesday, 5th February, 1974",Jinijini,N/A,N/A,Chrétien,National Democratic Congress (NDC)
