nom,date_de_naissance,etat,district,parti_politique
Balele  Aminu,0000-01-01,Katsina,Dutsin-ma/Kurfi,APC
Bamidele  Salam,1969-10-01,Osun,"Ede North,South/Egbedero/Ejigbo",PDP
Bashir  Zubairu,0000-01-01,Kaduna,Birnin-Gwari/Giwa,APC
Bashiru Ayinla Dawodu,1962-02-02,Lagos,Oshodi-Isolo I,APC
Befford Onwuegbu Anayo,1961-04-16,Enugu,Aninri/Agwu/Oji River,PDP
Bello A Kaoje,1972-06-15,Kebbi,Bagudo/Suru,APC
Bello Ambarura Isah,0000-01-01,Sokoto,Gwadabawa / Illela,APC
Bello Shinkafi Hassan,1969-02-11,Zamfara,Zurmi/Shinkafi,PDP
Benedict  Etanabene,0000-01-01,Delta,Opke/Sapele/Uvwie,LP
Beni Butmak Lar,1967-08-12,Plateau,Langtang North/South,PDP
Benjamin Okezie Kalu,1971-05-05,Abia,Bende Federal Constituency,APC
Billy Famous Osawaru,0000-01-01,Edo,Orhionmwon/Uhunmwode,APC
Blessing Onyeche Onuh,1976-06-20,Benue,Otukpo/Ohimini,APGA
Boma  Goodhead,1970-11-24,Rivers,Akuku-Toru/Asari-Toru,PDP
Boniface Sunday Emerengwa,1959-02-01,Rivers,Ikwerre/ Emohua,PDP
Bukar  Talba,0000-01-01,Borno,Monguno/Marte/Nganzai,APC
Canice Moore Nwachukwu,0000-01-01,Imo,Orlu/Oru East/Orsu,APC
Chinedu  Ogah,0000-01-01,Ebonyi,Ikwo/Ezza South,APC
Chinwe Clara Nnabuife,1971-10-17,Anambra,Orumba North/South,YPP
Cornelius Abidun Aderin,0000-01-01,Ondo,Akure North/South,APC
Dachung Musa Bagos,1977-04-06,Plateau,Jos South/East,PDP
Daniel Effiong Asuquo,1962-06-04,Cross River,Akamkpa/Biase,PDP
David Abel Fuoh,1968-04-15,Taraba,Gashaka/Kurmi/Sardauna,APC
David Agada Ogewu,0000-01-01,Benue,Oju/Obi,APC
David Idris Zacharias,1972-12-27,Kogi,Idah/Ibaji/Igalamela/Ofu,APC
Dennis  Idahosa,1980-11-08,Edo,Ovia South/West-Ovia North/East,APC
Dominic  Okafor,0000-00-00,Anambra,Aguata,APGA
Donald  Ojogo,0000-01-01,Ondo,Eseodo/Ilaje,APC
Dumnamene Robinson Dekor,1968-02-24,Rivers,Khana/Gokana,PDP
Ekene Abubakar Adams,0000-00-00,Kaduna,Chikun/Kajuru,LP
El-rasheed  Abdullahi,0000-01-01,Gombe,Dukku / Nafada,PDP
Emeka   idu,1970-01-01,Anambra,Onitsha North/South,LP
Emeka Martins Chinedu,1965-02-02,Imo,Ahiazu Mbaise/Ezinihitte,PDP
Emmanuel Effiong Ukpong-udo,1975-12-02,Akwa Ibom,Ikono/ Ini,PDP
Ereyitomi  Thomas,1965-06-20,Delta,Warri,PDP
Erhiatake   ibori suenu,1980-05-04,Delta,Ethiope,APC
Essien Ekpenyong Ayi,1956-10-14,Cross River,Akpabuyo/Bakassi/Calabar South,PDP
Etaba Michael Irom,1982-09-16,Cross River,Obubra/Etung,PDP
Fatima  Talba,0001-01-01,Yobe,Nangere/Potiskum,APC
Francis Ejiroghene Waive,1966-05-21,Delta,Ughelli North/South/Udu,APC
Gagdi Adamu Yusuf,1980-05-11,Plateau,Pankshin/Kanke/Kanam,APC
Ganiyu  Ayuba,0000-00-00,Lagos,Alimosho,APC
Gaza Jonathan Gbefwi,1975-06-03,Nassarawa,KARU/KEFFI/KOKONA,PDP
George  Olawande,0000-00-00,Lagos,Amuwo Odofin,LP
Hassan  Mohammed,1960-12-12,Kano,Dawakin Kudu/Warawa,NNPP
Hassan Shehu Hussain,0000-01-01,Kano,Nassarawa,NNPP
Hussaini Ahmed Abdulkarim,0000-01-01,Kaduna,Kaduna South,PDP
Ibrahim Almustapha Aliyu,2019-08-20,Sokoto,Wurno/Rabah,APC
Ibrahim Ayokunle Isiaka,1966-07-06,Ogun,Ifo/Ewekoro,APC
Ibrahim Mohammed Bukar,1969-01-29,Borno,Dikwa/Mafaf/Konduga,APC
Iduma Enwo Igariwey,1961-09-05,Ebonyi,Afikpo North/Afikpo South,APC
Ifeanyi Peter  uzokwe,1966-07-25,Anambra,Nnewi North/South/Ekwusigo,YPP
Ime Bassey Okon,0000-00-00,Akwa Ibom,Itu/Ibiono Ibom,PDP
Isaac  Kwallu,0000-00-00,Plateau,Mikang/Quan.Pan/Shendam,PDP
Ismail  Dalha,0000-00-00,Katsina,Kankia/Ingawa/Kusada,APC
Ismail Kayode Tijani,1983-03-27,Kwara,Offa/Oyun/Ifelodun,APC
Ismail Modibo Musa,0001-01-01,Niger,Shiroro/Rafi/Munya,APC
Jafaru  Mohammed,1972-02-01,Niger,Agwara/Borgu,APC
James Shuaibu Barka,0000-01-01,Adamawa,Hong/Gombi,PDP
Jeremiah  Umaru,0000-00-00,Nassarawa,Akwanga/Nasarawa Eggon/Wamba,APC
Jonas  Okeke,0000-01-01,Imo,Ehimembano/ihitte Uboma/Obowo,PDP
Jonathan Ajirioghene Ukodhiko,1975-03-25,Delta,Isoko North/South,PDP
Joseph  Adegbesan,0000-01-01,Ogun,Ijebu North/Ijebu East/Ogun Waterside,APC
Joseph  Bassey,0000-01-01,Cross River,Akpabuyo/Bakassi/Calabar South,APC
Joshua  Gana,0000-01-01,Niger,Lavun/Mokwa/Edati,PDP
Julius Gbabojor Pondi,1978-11-19,Delta,Burutu,PDP
Julius Omozuanvbo Ihonvbere,1956-06-25,Edo,Owan West/East,APC
Kabir Tukura Ibrahim,1984-02-15,Kebbi,Zuru/Fakai/Sakaba/D/Wasagu,APC
Kabiru  Amadu,1983-08-23,Zamfara,Tsafe/Gusau,PDP
Kabiru Alhassan Usman rurum,0000-00-00,Kano,Rano/Bunkure/Kibiya,NNPP
Khadija Waziri Bukar abba ibrahim,1967-01-06,Yobe,Damaturu/Gujba/Gulani/Tarmuwa,APC
Kingsley Ogundu Chinda,1966-03-24,Rivers,Obio/Akpor,PDP
Kumo Usman Bello,1966-09-14,Gombe,Akko,APC
Kwamoti Bitrus Laori,1966-10-17,Adamawa,Demsa/Numan/Lamurde,PDP
Lanre  okunlola,0000-00-00,Lagos,Surulere II,APC
Lawal Muhammadu Idirisu,1962-07-06,Kogi,Ajaokuta,APC
Lawan Shettima Ali,1966-01-15,Yobe,Bursari/Geidam/Yunusari,APC
Leke Joseph Abejide,1975-08-05,Kogi,Yagba East/Yagba West/Mopa-muro,PDP
Lukman  Mudashiru,0000-01-01,Osun,Ayedire/Iwo/Ola-Oluwa,PDP
Makki Yalleman Abubakar,1969-05-22,Jigawa,Mallam Madori/Kaugama,APC
Mallam Bukar Gana,1969-12-31,Borno,Kukawa/Mobbar/Abadam/Guzamalai,APC
Mansur  Musa,0000-01-01,Kebbi,Gwandu/Aliero/Jega,PDP
Mansur Manu Soro,1987-04-16,Bauchi,Darazo/Gunjuwa,APC
Marcus  Onobun,0000-01-01,Edo,Esan Central/West/Igueben,PDP
Marie Enenimiete Ebikake,0000-01-01,Bayelsa,Brass/Nembe,PDP
Martins Etim Esin,0000-01-01,Akwa Ibom,Mbo/Okobo/Oron/Udung Uko/Urue,PDP
Mathew  Nwogu,0000-00-00,Imo,Aboh Mbaise/Ngor Okpala,LP
Miriam  Onuoha,0000-00-00,Imo,Isiala Mbano/Okigwe/Onuimo,APC
Mohammed  Audu,0001-01-01,Taraba,Lau/K/Lamido/Ardo-Kola,PDP
Mohammed  Bassi,0000-01-01,Adamawa,Jada/Ganye/Mayo Belwa/Toungo,PDP
Mohammed  Chiroma,0000-01-01,Kano,Gezawa/Gabasawa,NNPP
Mohammed  Salihu,0000-00-00,Adamawa,Yola North/Yola South/Girei,PDP
Mohammed Omar Bio,1964-06-25,Kwara,Baruten/Kaiama,APC
Moshood Kayode Akiolu,1981-08-02,Lagos,Lagos Island II,APC
Muhammed  Ozigi,0000-00-00,Kogi,Okene/Ogori-Magogo,APC
Muhammed Buba Jajere,0000-01-01,Yobe,Fika/Fune,PDP
Najimdeen  Oyedeji,0000-01-01,Oyo,Iseyin/Itesiwaju/Kajola/Iwajowa,PDP
Nazifi  Sani,1980-08-01,Jigawa,Gumel/Maigatari/Sule Tankarkar/Gagarawa,APC
Nicholas Ebomo Mutu,1960-06-15,Delta,Bomadi/Patani,PDP
Nnamdi  Ezechi,0001-01-01,Delta,Ndokwa/Ukwani,PDP
Nnolim John Nnaji,1971-08-24,Enugu,Nkanu East/Nkanu West,PDP
Obinna  Aguocha,0000-00-00,Abia,Ikwuano/Umuahia North/South,LP
Obinna Ginger Onwusibe,0000-01-01,Abia,Isiala Ngwa North/South,LP
Offiono  Godwin,1970-01-01,Cross River,Ogoja/Yala,PDP
Ojema  Ojotu,0000-01-01,Benue,Apa/Agatu,PDP
Okpolupm  Etteh,1970-09-19,Akwa Ibom,Eket/Onna/Esit Eket/Ibeno,PDP
Okunjimi John Odimayo,0000-01-01,Ondo,Okitipupa/Irele,APC
Olafisoye Wasiu Akinmoyede,0000-01-01,Oyo,Lagelu/Akinyele,APC
Olaide Yusuf Mohammed,0000-01-01,Oyo,Olurunsogo/Oorelope,APC
Olubunmi  Tunji-ojo,1982-05-01,Ondo,Akoko North East/West,APC
Olufemi  Ogunbanwo,0001-01-01,Ogun,Ijebu Ode/Odogbolu/Ijebu North East,APC
Olufemi Richard Bamisile,1965-09-27,Ekiti,Emure/Gbonyin/Ekiti East,APC
Olumide Babatunde Osoba,1977-04-15,Ogun,Abeokuta North/ Obafemi- Owode/Odeda,APC
Olusola Steve Fatoba,1967-10-10,Ekiti,Ado Ekiti/Irepodun-Ifelodun,APC
Oluwaseyi  Sowumi,0001-01-01,Lagos,Ojo,LP
Oluwole  Oke,1967-04-28,Osun,Obokon/Oriade,PDP
Ozurigbo  ugonna,1977-11-26,Imo,Isu/Njaba/Nkwerre/Nwangele,APC
Paul  Nnamchi,0000-00-00,Enugu,Enugu East / Isi-Uzo,LP
Paul Asuquo Ekpo,0000-01-01,Akwa Ibom,Etinan/Nsit Ibom/Nsit Ubium,PDP
Peter  Gyendeng,0000-00-00,Plateau,Barkin Ladi/Riyom,PDP
Peter U. Aniekwe,0000-01-01,Anambra,Anambra East/West,LP
Philip  Agbese,1987-02-25,Benue,Ado/Obadigbo/Opkokwu,APC
Prince olaide Adewale Akinremi,1972-10-01,Oyo,Ibadan North,APC
Rodney Ebikebina Ambiowei,0001-01-01,Bayelsa,Southern Ijaw,PDP
Sa'ad  Taura,0001-01-01,Jigawa,Ringim/Taura,APC
Saadu  Nabunkari,0000-01-01,Sokoto,Binji/Silame,APC
Sada  Soli,1962-03-13,Katsina,Kaita/Jibia,APC
Saidu Musa Abdullahi,1979-05-31,Niger,Bida/Gbako/Katcha,APC
Saleh  Shehu,1969-02-05,Niger,Magama/Rijau,APC
Salisu  Yusuf,0000-00-00,Katsina,Mashi/Dutsi,PDP
Sani  Adamu,0000-00-00,Kano,Minjibir/Ungogo,NNPP
Sani Ibrahim Tanko,0000-01-01,Bauchi,Shira/Giade,PDP
Sani Muhammad Ahmad,0000-01-01,Zamfara,Bakura/Maradun,APC
Sani Umar Bala,0000-01-00,Kano,Tsanyawa/Kunchi,APC
Satomi  Alhaji ahmad,1981-02-21,Borno,Jere,APC
Sesi  Whingan,0000-00-00,Lagos,Badagry,APC
Simon Chukwuemeka Atigwe,1958-08-08,Enugu,Igboeze North/Udenu,PDP
Solomon T Bob,1970-07-03,Rivers,Ahoada-East/Abua/Odual,PDP
Sulaiman Gumi Abubakar,1974-02-14,Zamfara,Gummi/Bukkuyum,PDP
Suleiman Richifa Yahaya,0000-00-00,Kaduna,Soba,PDP
Sunday  Umeha,0000-00-00,Enugu,Ezeagu/Udi,LP
Sunday Anamero Dekeri,0000-01-01,Edo,Etsako East/West/Central,APC
Sunday Makanjuola Ojo,0000-01-01,Oyo,Ogo-Oluwa/Surulere,PDP
Sununu Tanko Yusuf,1967-02-02,Kebbi,Yauri/Shanga/Ngaski,APC
Tajudeen  Kareem,0000-01-01,Oyo,Atigbo/Saki East/Saki West,APC
Taofeek Abimbola Ajilesoro,1978-05-15,Osun,Ife Central/East/North/South,APC
Tasir Olawale Raji,1955-12-12,Lagos,Epe,APC
Thaddeus  atta,0000-00-00,Lagos,Eti-Osa,LP
Tijjani Abdulkadir Jobe,0001-01-01,Kano,Dawakin-Tofa/Tofa/Rimin Gado,NNPP
Tijjani Zannah Zakariya,1966-09-27,Yobe,Machina/Nguru/Karasuwa/Yusufari,APC
Tolulope Tiwalola Akande-sadipe,1966-03-29,Oyo,Oluyole Local Govt.,APC
Tongo Bauchi Yaya,1963-06-18,Gombe,"Gombe,kwami &Funakaye",PDP
Uchenna  Okonkwo,0000-01-01,Anambra,Idemili North/South,LP
Ugochinyere Onyinye  Ikeagwuonu,1982-08-03,Imo,Ideato North /South,PDP
Unyime Josiah Idem,1975-01-14,Akwa Ibom,Ukanafun/Orukanam,PDP
Usman  Murtala,0000-00-00,Katsina,Rimi/Charanchi/Batagarawa,APC
Usman  Zannah,1964-09-15,Borno,Kaga/Gubio/Magumeri,APC
Usman Ibrahim Auyo,1964-01-12,Jigawa,Hadejia/Kafin Hausa/Auyo,APC
Victor Onyemaechi Nwokolo,1964-05-20,Delta,Ika,PDP
Yakubu  Adamu,0000-00-00,Jigawa,Birnin-Kudu/Buji,APC
Yusuf  Bashir,0000-01-01,Kaduna,Kauru,PDP
Yusuf  Datti,0000-00-00,Kano,Kura/Madobi/Garun Malam,NNPP
Yusuf  Miga,1958-01-01,Jigawa,Jahun/Miga,APC
Yusuf Ahmad Badau,1961-07-15,Kano,Bagwai/Shanono,APC
Yusuf Alhaji Kabiru,0001-01-01,Bauchi,Alkaleri/Kirfi,APC
Yusuf Shitu Galambi,1964-01-28,Jigawa,Gwaram,NNPP
Zainab  Gimba,1972-12-25,Borno,Bama/Ngala/Kalabalge,APC
Zakaria Dauda Nyampa,1973-02-12,Adamawa,Michika/Madagali,PDP
