Nom,Circonscription,Parti,Photo URL
Juliao Correia Varela,Santiago Sul,PAICV,http://api.parlamento.cv/media/fotos/juliao.jpg
Luís Carlos dos Santos Silva,Santiago Sul,MPD,http://api.parlamento.cv/media/fotos/ERP_0575.JPG
Luís Joaquim Gonçalves Pires,Fogo,PAICV,http://api.parlamento.cv/media/fotos/Luispires.jpg
Lúcia Maria Mendes Gonçalves dos Passos,Santiago Sul,MPD,http://api.parlamento.cv/media/fotos/ERP_0578.JPG
Manuel Lopes de Brito,Santiago Sul,PAICV,http://api.parlamento.cv/media/fotos/Manuel Lopes de Brito.jpg
Maria de Fátima Tavares Silva Moreira Wright,América,MPD,http://api.parlamento.cv/media/fotos/ERP_1663.JPG
Maria Jaqueline Lima Rocha Mota,Santo Antão,MPD,http://api.parlamento.cv/media/fotos/jaqueline.jpg
Maria Santos Lopes Trigueiros,São Vicente,MPD,http://api.parlamento.cv/media/fotos/Trigeiros.jpg
Mircéa Isidora Araújo Delgado Rocha,São Vicente,MPD,http://api.parlamento.cv/media/fotos/Mirceaxl.jpg
Mário Celso Alves Teixeira,África,PAICV,http://api.parlamento.cv/media/fotos/mario.jpg
Nelson do Rosário de Brito,São Nicolau,MPD,http://api.parlamento.cv/media/fotos/ERP_1739.JPG
Orlando Pereira Dias,África,MPD,http://api.parlamento.cv/media/fotos/orlando dias.jpg
Paulo Jorge Lima Veiga,Santiago Sul,MPD,http://api.parlamento.cv/media/fotos/Pauloveiga.jpg
Rosa Lopes Rocha,Santo Antão,PAICV,http://api.parlamento.cv/media/fotos/Rosa rocha.jpg
Rui Mendes Semedo,Santiago Sul,PAICV,http://api.parlamento.cv/media/fotos/ERP_1629_Gvtobxt.JPG
Samuel Baptista Varela,Brava,MPD,http://api.parlamento.cv/media/fotos/SemFoto_qVoAw8g.jpg
Vander Paulo Silva Gomes,São Vicente,MPD,http://api.parlamento.cv/media/fotos/vander gomes foto.jpg
Vanuza Francisca Correia Teixeira Barbosa,Fogo,MPD,http://api.parlamento.cv/media/fotos/ERP_1760.JPG
Walter Emanuel da Silva Évora,Boa Vista,PAICV,http://api.parlamento.cv/media/fotos/Walter-Emanuel-da--Silva-Evora.jpg
Zilda Helena Pinheiro Pires de Oliveira,São Vicente,UCID,http://api.parlamento.cv/media/fotos/Zilda-Oliveira-UCID.jpg
